rule,g,target,attributor,focal,lds,p_onesided,n_masks,ci_lo,ci_hi,ceiling,bar_half_ceiling,ratio,PASS
random,15,C4,TracIn,False,0.45735439427575075,0.012318734377484979,24,-0.029864272527216688,0.7588939329450941,0.7945492662473793,0.39727463312368966,0.57561489728109,True
random,15,C5,IF,True,0.08920804074836243,0.3392443354344387,24,-0.3164986732863093,0.4209778375839446,0.9177998400225849,0.45889992001129243,0.09719770788603235,False
random,15,C5,TRAK,True,0.36074861356288995,0.04165276888442028,24,-0.05832353177704976,0.6952262406539664,0.9177998400225849,0.45889992001129243,0.3930580479879064,False
random,15,C5,TracIn,True,0.07093127142430769,0.3709434351262689,24,-0.3482661697478942,0.4925785864569746,0.9177998400225849,0.45889992001129243,0.07728403114840622,False
random,15,C6,IF,False,-0.20365542961089567,0.8300839712572636,24,-0.4912489302577527,0.140317870934597,0.940385146963973,0.4701925734819865,-0.21656597859759463,False
random,15,C6,TRAK,False,-0.23498703416641806,0.8654871093533515,24,-0.5311764530000379,0.1278075712258945,0.940385146963973,0.4701925734819865,-0.24988382145876303,False
random,15,C6,TracIn,False,0.23846832356147613,0.13089492593442886,24,-0.22405358484669538,0.6881930824470011,0.940385146963973,0.4701925734819865,0.25358580399889286,False
random,15,C7,IF,False,0.1953873672976328,0.18010575240214993,24,-0.20042523435294865,0.5629442895738933,0.9151966795585321,0.45759833977926606,0.21349221611236915,False
random,15,C7,TRAK,False,0.34160152189007076,0.05115693484774432,24,0.036193142464436195,0.5876632504249597,0.9151966795585321,0.45759833977926606,0.3732547653634962,False
random,15,C7,TracIn,False,-0.0735422384706012,0.6336407866054724,24,-0.41619590319567845,0.2827116694687194,0.9151966795585321,0.45759833977926606,-0.08035675840309663,False
random,15,C8,IF,False,-0.19973897904145538,0.8253009068731401,24,-0.5808100964931185,0.2201621603904966,0.9097459233978006,0.4548729616989003,-0.2195546843402742,False
random,15,C8,TRAK,False,-0.07702352786565926,0.6397255037952142,24,-0.5533379615797818,0.3476955807790487,0.9097459233978006,0.4548729616989003,-0.0846648782750077,False
random,15,C8,TracIn,False,-0.023933864591024066,0.544194884298141,24,-0.4523333301918795,0.4235810900075385,0.9097459233978006,0.4548729616989003,-0.026308295509183184,False
random,15,C9,IF,False,0.036988699822491734,0.431879287254167,24,-0.39045398864663117,0.4273201658351633,0.8945496491396712,0.4472748245698356,0.041348962417083766,False
random,15,C9,TRAK,False,0.29895572680060967,0.07793644015394312,24,-0.12863209867563602,0.6403157036601355,0.8945496491396712,0.4472748245698356,0.33419690800631235,False
random,15,C9,TracIn,False,0.37728473818941566,0.0345717087998906,24,-0.040451360161971664,0.7156066163728872,0.8945496491396712,0.4472748245698356,0.4217594166542544,False
dtw,1,C1,IF,True,0.25565217391304346,0.11395917792752588,24,-0.2024704853519895,0.6298730519044609,0.9327641408751334,0.4663820704375667,0.2740801910257686,False
dtw,1,C1,TRAK,True,-0.07130434782608694,0.6297126564116028,24,-0.44319876395534297,0.33785461540396855,0.9327641408751334,0.4663820704375667,-0.07644413491194904,False
dtw,1,C1,TracIn,True,0.368695652173913,0.03812484423954127,24,-0.05358566985740694,0.7149385679144437,0.9327641408751334,0.4663820704375667,0.39527211222763897,False
dtw,1,C2,IF,False,0.16173913043478258,0.22510944242318542,24,-0.278393736368657,0.5408136482939625,0.9115002366303833,0.45575011831519163,0.17744277394013272,False
dtw,1,C2,TRAK,False,0.049565217391304345,0.40904689480153544,24,-0.3611219293490989,0.46126849091928035,0.9115002366303833,0.45575011831519163,0.05437762427197616,False
dtw,1,C2,TracIn,False,0.46434782608695646,0.011129926756996847,24,0.036217386539090166,0.7978291252752076,0.9115002366303833,0.45575011831519163,0.5094324800216714,True
dtw,1,C3,IF,False,-0.2217391304347826,0.8511410712641203,24,-0.5587057885600328,0.1719871345029237,0.6441876915821739,0.32209384579108696,-0.34421509962441915,False
dtw,1,C3,TRAK,False,-0.3060869565217391,0.9271162952067029,24,-0.6038742853443667,0.09899802700896645,0.6441876915821739,0.32209384579108696,-0.47515182379527665,False
dtw,1,C3,TracIn,False,-0.11391304347826085,0.7019429746652933,24,-0.5081239344350325,0.3062529609688115,0.6441876915821739,0.32209384579108696,-0.1768320707874467,False
dtw,1,C4,IF,False,-0.2121739130434782,0.8402143888556597,24,-0.54196542893726,0.18604998491884017,0.7945492662473793,0.39727463312368966,-0.26703682459561773,False
dtw,1,C4,TRAK,False,-0.04434782608695652,0.5815115079674701,24,-0.46765255742529704,0.41150404769592647,0.7945492662473793,0.39727463312368966,-0.05581507399334634,False
dtw,1,C4,TracIn,False,0.2417391304347826,0.12755323310886668,24,-0.18408403191011888,0.642334004400812,0.7945492662473793,0.39727463312368966,0.3042468739245153,False
dtw,1,C5,IF,True,0.38,0.0335028053149912,24,-0.014032399299474602,0.64655576309842,0.9177998400225849,0.45889992001129243,0.4140336306777403,False
dtw,1,C5,TRAK,True,0.03217391304347826,0.4406808560142436,24,-0.34390110512696587,0.43784978089228094,0.9177998400225849,0.45889992001129243,0.03505547902763476,False
dtw,1,C5,TracIn,True,0.24608695652173912,0.12319732422242417,24,-0.1596871897537565,0.6317049531652578,0.9177998400225849,0.45889992001129243,0.26812704229244966,False
dtw,1,C6,IF,False,-0.20434782608695648,0.830921375743412,24,-0.5792643689648811,0.2397419072615922,0.940385146963973,0.4701925734819865,-0.21730226891257484,False
dtw,1,C6,TRAK,False,0.04347826086956521,0.42006649205746666,24,-0.4308112375631319,0.4851489828090118,0.940385146963973,0.4701925734819865,0.04623452530054784,False
dtw,1,C6,TracIn,False,0.010434782608695651,0.4807019363886902,24,-0.46813867049223085,0.4584345671849389,0.940385146963973,0.4701925734819865,0.011096286072131483,False
