group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
act_out,evenly3,3,False,TracIn_trunc_k5,C5,-0.03565217391304347,0.8444377100886411,-0.042220016334065705,0.5656804768876926,24,False
embed,last1,1,False,TracIn,C1,-0.2869565217391304,0.82979067062928,-0.34581796577866325,0.9130128790481677,24,False
embed,last1,1,False,TracIn,C5,0.3321739130434782,0.8444377100886411,0.3933669814539781,0.056386395147848385,24,False
embed,last1,1,False,TracIn_trunc_k1,C1,-0.2843478260869565,0.82979067062928,-0.34267416608976636,0.9109525095234388,24,False
embed,last1,1,False,TracIn_trunc_k1,C5,0.2782608695652174,0.8444377100886411,0.3295220787049032,0.09398569726107155,24,False
embed,last1,1,False,TracIn_trunc_k5,C1,-0.2713043478260869,0.82979067062928,-0.32695516764528165,0.9001443799209724,24,False
embed,last1,1,False,TracIn_trunc_k5,C5,0.248695652173913,0.8444377100886411,0.2945103578425072,0.12063088344397724,24,False
embed,last2,2,True,TracIn,C1,0.22869565217391302,0.82979067062928,0.2756064393932983,0.14121160381815823,24,False
embed,last2,2,True,TracIn,C5,0.13999999999999999,0.8444377100886411,0.1657907958484044,0.2570493454645214,24,False
embed,last2,2,True,TracIn_trunc_k1,C1,0.19130434782608693,0.82979067062928,0.23054531051910884,0.18526640333497155,24,False
embed,last2,2,True,TracIn_trunc_k1,C5,0.09130434782608696,0.8444377100886411,0.10812443207504635,0.3356706347823206,24,False
embed,last2,2,True,TracIn_trunc_k5,C1,0.25565217391304346,0.82979067062928,0.3080923695119,0.11395917792752588,24,False
embed,last2,2,True,TracIn_trunc_k5,C5,0.06521739130434781,0.8444377100886411,0.07723173719646166,0.3810344699390619,24,False
embed,last2,2,False,TracIn,C1,0.1782608695652174,0.82979067062928,0.21482631207462416,0.20231463103593741,24,False
embed,last2,2,False,TracIn,C5,0.2226086956521739,0.8444377100886411,0.2636176629639225,0.147889211267211,24,False
embed,last2,2,False,TracIn_trunc_k1,C1,0.040869565217391296,0.82979067062928,0.049252861792718705,0.42480757501620914,24,False
