target,config,n_masks,depth,budget,ceiling,level_sd_est,level_sd_graddot,lds_est_mean,lds_graddot_mean,ratio_est_mean,paired_sd,paired_mean,ci_width_95,power_0.10,power_0.15,power_0.20,power_0.30
C7,leverage_C7,24,4,96,0.891549464278791,0.18058148682111363,0.21003088439737086,0.32707918873512354,0.12714838395874328,0.366866003334667,0.2450214936421439,0.19993080477638023,0.960484255077204,0.10809438048962233,0.15088094921497774,0.20366576032560457,0.3370706156572215
C7,leverage_C7,24,5,120,0.9064730327390003,0.18868439167763773,0.2102849530582377,0.31486249255070403,0.128516365308813,0.3473489901837621,0.2607070727046292,0.18634612724189106,1.0219717250021463,0.10360374526932792,0.1424232855805178,0.19005079828503102,0.3106047640559977
C7,leverage_C7,24,6,144,0.9237375811552643,0.1904678416030425,0.20374899985267814,0.3183606112283977,0.12190482428359078,0.3446439960039764,0.25300659490252103,0.19645578694480695,0.9917858520178824,0.10572157005552657,0.14640351275422853,0.19645266554638124,0.32307622921500767
C7,leverage_C7,24,8,192,0.934838250304224,0.17654704846486205,0.21463751865910824,0.3124315721531698,0.12681394838593812,0.3342092303684572,0.2550548341141944,0.1856176237672317,0.999814949727642,0.10514269563076195,0.14531403707974588,0.194699299521653,0.3196649317914343
C7,leverage_C7,24,10,240,0.9438250595273365,0.17995576678233163,0.2178175243522083,0.33106464743499703,0.12384718105990311,0.3507690796012481,0.26697277668769853,0.20721746637509397,1.0465332846157782,0.10199181381565015,0.13940452501788836,0.18520287935125812,0.30113338822227964
C7,leverage_C7,48,2,96,0.8042973557456042,0.14147485773674204,0.1597272874624163,0.2952812545728412,0.1142472981618037,0.3671294608436303,0.1898694136699097,0.18103395641103748,0.744288101586046,0.13174594742705847,0.19632070494023524,0.2770933704634146,0.47415853632157806
C7,leverage_C7,48,3,144,0.8601592061503127,0.12865706884363803,0.1509657001259505,0.31087505945323346,0.1171839981125401,0.36141572075310446,0.18150247696502592,0.1936910613406933,0.7114897097029016,0.1370000864035738,0.20655909529480088,0.293585457103865,0.5031980378678717
C7,leverage_C7,48,4,192,0.8932972835229864,0.13064504234842902,0.14635356289476034,0.32346631488185373,0.1222834723362227,0.3621037708814775,0.18081982464919996,0.20118284254563107,0.7088137126248638,0.13745678977574044,0.20745071366442636,0.29501925773026494,0.5056873230462414
C7,leverage_C7,48,5,240,0.9137448482512298,0.13109375057217676,0.14699451073497533,0.3219688501580007,0.12693611311040476,0.352361877360185,0.18060969552439646,0.19503273704759597,0.7079900064556341,0.13759827408826503,0.20772698190389538,0.29546343390173174,0.5064573041868597
C7,leverage_C7,48,6,288,0.9215718447302543,0.1335094948554136,0.14454968466482432,0.3188890573457321,0.12771409458726427,0.3460273435752277,0.18179303203502617,0.19117496275846788,0.7126286855773025,0.13680705461069054,0.20618231519140306,0.2929794338089158,0.5021441603782283
C7,leverage_C7,48,8,384,0.936588493157813,0.12575201772670722,0.1464484463130655,0.3338106987484429,0.11966297256242302,0.35641127473492945,0.17950762547824875,0.21414772618601985,0.703669891874735,0.1383473946325557,0.20919012849189883,0.2978151345386264,0.5105246986259209
C7,leverage_C7,48,10,480,0.9501770073534724,0.1291875369958329,0.13967634920867988,0.3314105271261676,0.12408365560147783,0.3487881990001475,0.17220275851324454,0.20732687152468982,0.6750348133719186,0.14363199897443735,0.21952825018599498,0.3143944993602362,0.5387474821814124
C7,leverage_C7,72,2,144,0.8115903909745851,0.10468896884721259,0.12544988610721217,0.3121671970290289,0.11910013270128687,0.38463638862723354,0.1420452741744202,0.193067064327742,0.5568174747637272,0.17339016645690275,0.2779801838307616,0.4063858668876947,0.6798033801817218
C7,leverage_C7,72,3,216,0.8649185210944759,0.1140281343678599,0.12334527041454801,0.31856383054917103,0.10967539851861388,0.3683165787062317,0.15130100668160676,0.20888843203055713,0.5930999461918984,0.1625775495278033,0.2567323256022882,0.3733531659783692,0.6322991060763306
C7,leverage_C7,72,4,288,0.8951648455364071,0.10463582536753033,0.11941268473111691,0.32267180719449445,0.13426151812607515,0.3604607674256251,0.14582325680825975,0.18841028906841933,0.5716271666883782,0.16875621075852532,0.2688775940704417,0.39229966729476085,0.6599883668606367
C7,leverage_C7,72,5,360,0.9138404559628942,0.1095743762366798,0.12135494308972908,0.32373558364120786,0.128943354229198,0.35425831886605913,0.14627948143455802,0.19479222941200988,0.5734155672234674,0.16821807927294535,0.2678200814168029,0.3906566942306148,0.6576342123941413
C7,leverage_C7,72,6,432,0.9304166719787871,0.11380890957148736,0.12231354404397127,0.31983211442104875,0.11363852259203935,0.3437514868911772,0.14887582798159324,0.2061935918290094,0.5835932456878455,0.16523865472974314,0.2619638933593478,0.38153484789055747,0.6444013347627965
C7,leverage_C7,72,8,576,0.9437604511668627,0.10455447009517313,0.12299658195456938,0.32994574923368203,0.12544892580331887,0.34960751833342674,0.14795497105940358,0.20449682343036316,0.579983486552862,0.1662795013271805,0.26400991230658455,0.3847262970073728,0.6490623765795526
C7,leverage_C7,72,10,720,0.9528477157531163,0.10232612406227011,0.12344501082429925,0.33939957731831977,0.1328563844305699,0.35619498447353,0.14040202237652985,0.20654319288774986,0.550375927715997,0.17550986444355265,0.2821410176612419,0.4127904442575018,0.6885935744560134
C7,leverage_C7,96,2,192,0.8204699231562094,0.09944398582305188,0.11011832979606524,0.3150267473806915,0.12453583787384317,0.38395892218551625,0.13394502615382178,0.19049090950684824,0.5250645025229814,0.18451849636169904,0.29979464884544604,0.43971030167114356,0.724035213810139
C7,leverage_C7,96,3,288,0.8674372666863553,0.09952818026748016,0.10554259576472001,0.31849095276708744,0.12802741702039847,0.3671630963974323,0.12732623682113753,0.19046353574668895,0.4991188483388591,0.19504075851131442,0.3203295377834814,0.47047119355069966,0.7615503991918193
C7,leverage_C7,96,4,384,0.8949828152237644,0.09648182369074397,0.10206396859692853,0.32278881139356563,0.12981727973889723,0.36066481490246455,0.12966451273004787,0.1929715316546684,0.5082848899017877,0.191159186179715,0.3127671039080151,0.45921500716459124,0.748191492191609
C7,leverage_C7,96,5,480,0.9151647062034969,0.09459984495600678,0.11096786673248266,0.31973446156012264,0.12486924927451823,0.3493736803799186,0.12874991317147386,0.1948652122856044,0.5046996596321776,0.1926549960402752,0.31568327836822196,0.4635657208234233,0.7534053440921591
C7,leverage_C7,96,6,576,0.9299069113002939,0.08923159943537172,0.10469487205601548,0.3325045977149948,0.1336657657430166,0.35756761636500994,0.1229926743724384,0.19883883197197827,0.4821312835399585,0.2027617481986646,0.3353203690617513,0.49252405228573515,0.7864942643738277
C7,leverage_C7,96,8,768,0.9460420429559199,0.09419055404642313,0.1129638197707594,0.33335950643203605,0.13113001154970266,0.3523728241405109,0.13194157735623566,0.2022294948823334,0.5172109832364438,0.1875549505389738,0.3057312938273915,0.4486664745668688,0.7352861866877258
C7,leverage_C7,96,10,960,0.9539279536882594,0.09241933978610536,0.10946340219326817,0.33275465454867803,0.12395757412974867,0.3488257716551005,0.1325548104744075,0.20879708041892941,0.5196148570596775,0.1866124970034161,0.3038895350260544,0.4458933257650104,0.731831334992708
C7,leverage_C7,120,2,240,0.8258107000289869,0.092205415862852,0.09627507926126327,0.3167221240812984,0.12278935911445651,0.3835287240407288,0.11880942686210792,0.1939327649668419,0.46573295329946307,0.21093836461044901,0.35110921231313796,0.5153612567111195,0.8106241161432104
C7,leverage_C7,120,3,360,0.8707410965178211,0.08600270427524748,0.0946269668586947,0.3182673273725171,0.11981544973497459,0.36551315729244815,0.11816560328471402,0.19845187763754257,0.463209164876079,0.21226592980623948,0.35366339911697353,0.5190168684182821,0.8143273484761592
C7,leverage_C7,120,4,480,0.8973988434976854,0.08536580961877437,0.093249178949315,0.32322678179247727,0.11682483429927422,0.3601818568571745,0.11696199285475085,0.20640194749320298,0.45849101199062336,0.21480037631001098,0.35853189765054994,0.5259542260505863,0.8212350842068556
C7,leverage_C7,120,5,600,0.9163701341192663,0.08060555155054237,0.09249006009873395,0.3287294018626832,0.13162352698320445,0.3587299385074665,0.10671963148242117,0.19710587487947873,0.41834095541109095,0.2395288617699885,0.4054358829539333,0.5906494086145477,0.8782434165498052
C7,leverage_C7,120,6,720,0.9276005597690942,0.08702840613892615,0.09713108829815732,0.33154946645273414,0.13060334477236893,0.35742697970693993,0.11550761842883027,0.2009461216803652,0.45278986424101464,0.21795749943668685,0.3645819349000266,0.5345187385683067,0.8295472564480444
C7,leverage_C7,120,8,960,0.9442592663885325,0.08198524179240953,0.09284141296117096,0.3379935002263283,0.13343330285953556,0.3579456535481377,0.11566462517621995,0.20456019736679273,0.4534053306907822,0.2176115542658345,0.3639198038830107,0.5335844926117483,0.8286520786977226
C7,leverage_C7,120,10,1200,0.954666727966917,0.0773669389805264,0.09444688452883149,0.3446290084740098,0.12888567159803505,0.36099404994237166,0.11030056791041293,0.21574333687597477,0.43237822620881866,0.23018431560378133,0.3878476758926245,0.566855337509723,0.8588097951366425
C7,leverage_C7,144,2,288,0.816312768852635,0.08772178233212488,0.08761943148223021,0.3100529069267227,0.1281469186815919,0.3798212140703327,0.10924642491583789,0.18190598824513082,0.4282459856700845,0.23285042109113285,0.39288367954292835,0.573726605234969,0.864602076891049
C7,leverage_C7,144,3,432,0.8691533379947587,0.0816684523856972,0.09141583158214053,0.3147608071142692,0.1222633988866675,0.3621464629480228,0.11503094877884422,0.19249740822760175,0.4509213192130693,0.21901552792791018,0.36660571944555137,0.5373695188749789,0.8322614054776731
C7,leverage_C7,144,4,576,0.8976719654899259,0.07667493085093598,0.08342840938582466,0.3222162232090507,0.12097869480500778,0.3589465145357341,0.10979860960152645,0.20123752840404288,0.43041054963798364,0.23144533452190608,0.3902313495268957,0.570113472320462,0.8615746930732497
C7,leverage_C7,144,5,720,0.9203253049789641,0.07640696091422965,0.08412175504145371,0.32254115926690163,0.1286853257646284,0.3504642950943025,0.10460704670048855,0.19385583350227317,0.4100596230659151,0.24544464680300476,0.4164764828336014,0.6052898496029836,0.8893393071434594
C7,leverage_C7,144,6,864,0.9283048037590205,0.07363235316954253,0.08620269176034367,0.3247331419457532,0.12205182752545533,0.34981305777024824,0.10498067815766368,0.20268131442029783,0.41152425837804163,0.24437529519593515,0.4144863643037523,0.6026679447271387,0.8873997378877811
C7,leverage_C7,144,8,1152,0.9453084502097766,0.07337774650758835,0.08599855571773571,0.33235956355118323,0.12904901254380263,0.35158848255024927,0.10396502819430666,0.20331055100738057,0.40754291052168207,0.24730603647506244,0.4199346079291339,0.6098277736615715,0.8926476314663101
C7,leverage_C7,144,10,1440,0.9543063152610749,0.07362337678003116,0.08608697631713237,0.3335844871314478,0.12922768993220643,0.349557036139059,0.10634671089192359,0.20435679719924135,0.41687910669634043,0.24055043613150734,0.40734779850462993,0.5932012223596845,0.8802241569555804
