group,estimator,target,n_params_frac,lds,ceiling,ratio,p,n,passed
block_00,trunc_k10,C1,,-0.18608695652173912,0.9505589414333672,-0.195765826200251,0.8080164830141259,24,False
block_00,trunc_k10,C5,,0.5217391304347825,0.9380881188989534,0.5561728369901483,0.004463032958436802,24,True
block_00,trunc_k20,C1,,-0.31565217391304345,0.9505589414333672,-0.3320700696761267,0.9335213937304367,24,False
block_00,trunc_k20,C5,,0.48521739130434777,0.9380881188989534,0.517240738400838,0.008122231090201494,24,True
block_00,trunc_k135,C1,,-0.2869565217391304,0.9505589414333672,-0.3018818815237515,0.9130128790481677,24,False
block_00,trunc_k135,C5,,0.5069565217391303,0.9380881188989534,0.5404146066087608,0.005730793146446403,24,True
block_01,GradDot_dmean,C1,,-0.06869565217391303,0.9505589414333672,-0.07226869284962537,0.6251177533027024,24,False
block_01,GradDot_dmean,C5,,0.6486956521739129,0.9380881188989534,0.6915082273244177,0.00030306247744289554,24,True
block_01,trunc_k0,C1,,-0.06869565217391303,0.9505589414333672,-0.07226869284962537,0.6251177533027024,24,False
block_01,trunc_k0,C5,,0.6486956521739129,0.9380881188989534,0.6915082273244177,0.00030306247744289554,24,True
block_01,trunc_k1,C1,,-0.23304347826086955,0.9505589414333672,-0.24516467954050125,0.8634397620350849,24,False
block_01,trunc_k1,C5,,0.6373913043478261,0.9380881188989534,0.679457815856298,0.00040398737108479925,24,True
block_01,trunc_k2,C1,,-0.2678260869565217,0.9505589414333672,-0.28175642275550145,0.8971180474521767,24,False
block_01,trunc_k2,C5,,0.6130434782608695,0.9380881188989534,0.6535030834634243,0.0007233326151636619,24,True
block_01,trunc_k5,C1,,-0.2904347826086956,0.9505589414333672,-0.3055410558452515,0.9157082056322584,24,False
block_01,trunc_k5,C5,,0.6739130434782608,0.9380881188989534,0.7183899144456083,0.0001528300151930763,24,True
block_01,trunc_k10,C1,,-0.29217391304347823,0.9505589414333672,-0.30737064300600153,0.9170337818671529,24,False
