group,lam_rel,method,frac_preconditioned,target,lds,ceiling,ratio,p,n,passed
last_block,100.0,kfac,0.7484164365762547,C5,0.37739130434782603,0.9380881188989534,0.4022983520895407,0.03452927263833055,24,False
last_block,10000.0,kfac,0.7484164365762547,C1,0.4434782608695652,0.9505589414333672,0.4665447259912524,0.014979669843233775,24,False
last_block,10000.0,kfac,0.7484164365762547,C5,0.37739130434782603,0.9380881188989534,0.4022983520895407,0.03452927263833055,24,False
last_block,0.0001,ekfac,0.7484164365762547,C1,0.4252173913043478,0.9505589414333672,0.4473340608033773,0.019160112364384793,24,False
last_block,0.0001,ekfac,0.7484164365762547,C5,0.40347826086956523,0.9380881188989534,0.43010699393904817,0.025282957823212927,24,False
last_block,0.01,ekfac,0.7484164365762547,C1,0.4252173913043478,0.9505589414333672,0.4473340608033773,0.019160112364384793,24,False
last_block,0.01,ekfac,0.7484164365762547,C5,0.40347826086956523,0.9380881188989534,0.43010699393904817,0.025282957823212927,24,False
last_block,1.0,ekfac,0.7484164365762547,C1,0.4252173913043478,0.9505589414333672,0.4473340608033773,0.019160112364384793,24,False
last_block,1.0,ekfac,0.7484164365762547,C5,0.40347826086956523,0.9380881188989534,0.43010699393904817,0.025282957823212927,24,False
last_block,100.0,ekfac,0.7484164365762547,C1,0.4252173913043478,0.9505589414333672,0.4473340608033773,0.019160112364384793,24,False
last_block,100.0,ekfac,0.7484164365762547,C5,0.40347826086956523,0.9380881188989534,0.43010699393904817,0.025282957823212927,24,False
last_block,10000.0,ekfac,0.7484164365762547,C1,0.4252173913043478,0.9505589414333672,0.4473340608033773,0.019160112364384793,24,False
last_block,10000.0,ekfac,0.7484164365762547,C5,0.40347826086956523,0.9380881188989534,0.43010699393904817,0.025282957823212927,24,False
