source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,0.3,0.0,C3,-0.11043478260869564,0.3260869565217391,-0.17652173913043476,-0.010064955945719989
cachedE20_full,dmean,0.3,0.0,C4,-0.06695652173913047,-0.9486956521739129,-0.4747826086956521,-0.47199176795935444
cachedE20_full,dmean,0.3,0.0,C5,-0.12000000000000005,-0.12173913043478257,-0.47391304347826085,-0.3053894141102322
cachedE20_full,dmean,0.3,0.0,C6,-0.09217391304347826,0.03391304347826088,-0.6591304347826086,-0.22663836902694712
cachedE20_full,dmean,0.3,0.0,C7,0.051304347826086893,0.27391304347826084,-0.09913043478260866,0.09473278024310244
cachedE20_full,dmean,0.3,0.0,C8,0.2634782608695652,-0.2069565217391304,-0.23652173913043475,-0.0776255707762557
cachedE20_full,dmean,0.3,0.0,C9,-0.677391304347826,-0.1313043478260869,0.1034782608695652,-0.23815036336741915
cachedE20_full,dmean,0.3,0.5,C1,-0.4469565217391303,-0.1243478260869565,0.4582608695652173,-0.10238600553090235
cachedE20_full,dmean,0.3,0.5,C2,-0.2417391304347826,-0.11565217391304343,0.2539130434782608,0.03087015242137757
cachedE20_full,dmean,0.3,0.5,C3,-0.1626086956521739,0.4313043478260869,-0.2878260869565217,0.014373914721203924
cachedE20_full,dmean,0.3,0.5,C4,0.053913043478260814,-0.9165217391304348,-0.41304347826086946,-0.45414496109074554
cachedE20_full,dmean,0.3,0.5,C5,-0.2973913043478261,-0.1426086956521739,-0.408695652173913,-0.319506077561258
cachedE20_full,dmean,0.3,0.5,C6,0.0017391304347826042,0.1191304347826087,-0.5530434782608695,-0.12132613029776837
cachedE20_full,dmean,0.3,0.5,C7,0.1452173913043478,0.4017391304347826,0.06086956521739134,0.2473470962762879
cachedE20_full,dmean,0.3,0.5,C8,0.31913043478260866,-0.3182608695652174,-0.351304347826087,-0.11955752781529361
