target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,half_ceiling_bar,focal,PASS
C8,logit_success,TRAK,-0.010434782608695651,0.499474514222627,-0.020891521612341233,0.5192980636113098,0.2497372571113135,False,False
C8,logit_success,TracIn,-0.23913043478260865,0.499474514222627,-0.47876403694948655,0.8697860315985365,0.2497372571113135,False,False
C8,neg_transport_loss,IF,-0.28782608695652173,0.9098492748127783,-0.31634480009422256,0.9136922503086403,0.45492463740638917,False,False
C8,neg_transport_loss,TRAK,0.3313043478260869,0.9098492748127783,0.3641310236734102,0.05688774673740126,0.45492463740638917,False,False
C8,neg_transport_loss,TracIn,-0.2669565217391304,0.9098492748127783,-0.29340741277621246,0.8963518898185907,0.45492463740638917,False,False
C8,neg_interaction_loss,IF,-0.38,0.9146847867119667,-0.41544366487825013,0.9664971946850088,0.45734239335598337,False,False
C8,neg_interaction_loss,TRAK,0.23565217391304347,0.9146847867119667,0.25763211254463564,0.13381675520334535,0.45734239335598337,False,False
C8,neg_interaction_loss,TracIn,-0.09304347826086956,0.9146847867119667,-0.10172190421504064,0.6672837273772849,0.45734239335598337,False,False
C9,neg_plain_loss,IF,0.02434782608695652,0.8945496491396712,0.02721797064072735,0.4550437100394768,0.4472748245698356,False,False
C9,neg_plain_loss,TRAK,-0.19652173913043475,0.8945496491396712,-0.21968790588587073,0.8213129652420481,0.4472748245698356,False,False
C9,neg_plain_loss,TracIn,0.46173913043478254,0.8945496491396712,0.5161693717937936,0.011562029635097568,0.4472748245698356,False,True
C9,logit_success,IF,-0.04521739130434782,0.6058472000809786,-0.07463497610998943,0.5830882890075946,0.3029236000404893,False,False
C9,logit_success,TRAK,0.19565217391304346,0.6058472000809786,0.3229398004759158,0.17977398161711464,0.3029236000404893,False,False
C9,logit_success,TracIn,0.00608695652173913,0.6058472000809786,0.01004701601480627,0.4887401008238579,0.3029236000404893,False,False
C9,neg_transport_loss,IF,0.32695652173913037,0.8867376573088093,0.36871843554205425,0.059443542429202474,0.44336882865440463,False,False
C9,neg_transport_loss,TRAK,-0.08,0.8867376573088093,-0.09021834061135371,0.6449019739021205,0.44336882865440463,False,False
C9,neg_transport_loss,TracIn,0.5330434782608695,0.8867376573088093,0.601128726029998,0.0036588890354701223,0.44336882865440463,False,True
C9,neg_interaction_loss,IF,-0.19826086956521738,0.8740392617613942,-0.22683291041832057,0.823475282378798,0.4370196308806971,False,False
C9,neg_interaction_loss,TRAK,-0.25304347826086954,0.8740392617613942,-0.2895104251391723,0.8835682173475228,0.4370196308806971,False,False
C9,neg_interaction_loss,TracIn,0.248695652173913,0.8740392617613942,0.28453601920894595,0.12063088344397724,0.4370196308806971,False,False
